X1,X2,X3,X4,X5,Generation,Iter
3,Hybridindex,6.7915[1.65523],6.73593[1.61193],6.84853[1.69662],94,0
3,Pref0,0[0],0[0],0[0],94,0
3,Signal0,0[0],0[0],0[0],94,0
3,Hybridindex,6.7995[1.65863],6.71221[1.63131],6.88661[1.68094],95,0
3,Pref0,0[0],0[0],0[0],95,0
3,Signal0,0[0],0[0],0[0],95,0
3,Hybridindex,6.82125[1.6417],6.8247[1.65954],6.81791[1.62422],96,0
3,Pref0,0[0],0[0],0[0],96,0
3,Signal0,0[0],0[0],0[0],96,0
3,Hybridindex,6.849[1.61615],6.8178[1.62274],6.87751[1.60958],97,0
3,Pref0,0[0],0[0],0[0],97,0
3,Signal0,0[0],0[0],0[0],97,0
3,Hybridindex,6.8555[1.6303],6.85998[1.61077],6.85096[1.64985],98,0
3,Pref0,0[0],0[0],0[0],98,0
3,Signal0,0[0],0[0],0[0],98,0
3,Hybridindex,6.81[1.61025],6.83758[1.60188],6.7834[1.61783],99,0
3,Pref0,0[0],0[0],0[0],99,0
3,Signal0,0[0],0[0],0[0],99,0
3,Hybridindex,6.7665[1.58807],6.78629[1.64711],6.74729[1.52836],100,0
3,Pref0,0[0],0[0],0[0],100,0
3,Signal0,0[0],0[0],0[0],100,0
3,Hybridindex,9.98[8.72924],9.77401[8.65459],10.2132[8.80718],1,0_1
3,Pref0,0.499[0.436462],0.488701[0.432729],0.510661[0.440359],1,0_1
3,Signal0,0.499[0.436462],0.488701[0.432729],0.510661[0.440359],1,0_1
3,Hybridindex,10.2957[7.97433],10.3633[7.92916],10.2323[8.01603],2,0_1
3,Pref0,0.515[0.416263],0.508256[0.413191],0.521339[0.419031],2,0_1
3,Signal0,0.515[0.416263],0.508256[0.413191],0.521339[0.419031],2,0_1
3,Hybridindex,10.391[7.35419],10.2621[7.46049],10.5184[7.24537],3,0_1
3,Pref0,0.52275[0.413953],0.519115[0.418555],0.526342[0.409325],3,0_1
3,Signal0,0.52275[0.413953],0.519115[0.418555],0.526342[0.409325],3,0_1
3,Hybridindex,10.4923[6.67752],10.7777[6.55969],10.201[6.78326],4,0_1
3,Pref0,0.53325[0.402516],0.559901[0.400032],0.506061[0.403224],4,0_1
3,Signal0,0.53325[0.402516],0.559901[0.400032],0.506061[0.403224],4,0_1
3,Hybridindex,10.8458[5.94162],10.8465[6.02068],10.845[5.85718],5,0_1
3,Pref0,0.54625[0.405569],0.54386[0.407682],0.548768[0.403315],5,0_1
3,Signal0,0.54625[0.405569],0.54386[0.407682],0.548768[0.403315],5,0_1
3,Hybridindex,11.1427[5.34988],11.0784[5.40457],11.2099[5.29142],6,0_1
3,Pref0,0.56825[0.403072],0.559256[0.405236],0.57763[0.400587],6,0_1
3,Signal0,0.56825[0.403072],0.559256[0.405236],0.57763[0.400587],6,0_1
3,Hybridindex,11.3845[4.72138],11.3475[4.73505],11.4189[4.70836],7,0_1
3,Pref0,0.58975[0.400087],0.585062[0.399721],0.594112[0.400379],7,0_1
3,Signal0,0.58975[0.400087],0.585062[0.399721],0.594112[0.400379],7,0_1
3,Hybridindex,11.696[4.17347],11.6398[4.17839],11.7535[4.16763],8,0_1
3,Pref0,0.62325[0.391707],0.613142[0.393619],0.633603[0.389467],8,0_1
3,Signal0,0.62325[0.391707],0.613142[0.393619],0.633603[0.389467],8,0_1
3,Hybridindex,12.0557[3.73357],11.9559[3.73695],12.162[3.72702],9,0_1
3,Pref0,0.659[0.384992],0.656644[0.385795],0.661507[0.38412],9,0_1
3,Signal0,0.659[0.384992],0.656644[0.385795],0.661507[0.38412],9,0_1
3,Hybridindex,12.4225[3.24623],12.3069[3.30465],12.5398[3.18159],10,0_1
3,Pref0,0.7125[0.367211],0.693644[0.375833],0.731621[0.35724],10,0_1
3,Signal0,0.7125[0.367211],0.693644[0.375833],0.731621[0.35724],10,0_1
3,Hybridindex,12.8305[2.82117],12.8372[2.81461],12.8244[2.82711],11,0_1
3,Pref0,0.78225[0.326665],0.782038[0.324948],0.782443[0.328217],11,0_1
3,Signal0,0.78225[0.326665],0.782038[0.324948],0.782443[0.328217],11,0_1
3,Hybridindex,13.184[2.47056],13.141[2.4582],13.2282[2.48242],12,0_1
3,Pref0,0.85625[0.266854],0.850099[0.275056],0.862576[0.257994],12,0_1
3,Signal0,0.85625[0.266854],0.850099[0.275056],0.862576[0.257994],12,0_1
3,Hybridindex,13.4175[2.17869],13.3347[2.24682],13.4971[2.10811],13,0_1
3,Pref0,0.91975[0.198582],0.915816[0.202799],0.923529[0.19437],13,0_1
3,Signal0,0.91975[0.198582],0.915816[0.202799],0.923529[0.19437],13,0_1
3,Hybridindex,13.532[1.97692],13.5471[1.99103],13.517[1.96265],14,0_1
3,Pref0,0.9545[0.148087],0.956413[0.14281],0.952595[0.153138],14,0_1
3,Signal0,0.9545[0.148087],0.956413[0.14281],0.952595[0.153138],14,0_1
3,Hybridindex,13.5675[1.95549],13.5025[1.94016],13.6303[1.96816],15,0_1
3,Pref0,0.97625[0.106353],0.977111[0.104502],0.975418[0.108105],15,0_1
3,Signal0,0.97625[0.106353],0.977111[0.104502],0.975418[0.108105],15,0_1
3,Hybridindex,13.6335[1.90176],13.6939[1.87031],13.5665[1.93385],16,0_1
3,Pref0,0.98975[0.0708515],0.990019[0.0699348],0.989451[0.071854],16,0_1
3,Signal0,0.98975[0.0708515],0.990019[0.0699348],0.989451[0.071854],16,0_1
3,Hybridindex,13.6625[1.89317],13.5814[1.87558],13.7362[1.90602],17,0_1
3,Pref0,0.99275[0.0597699],0.993172[0.058028],0.992366[0.0613068],17,0_1
3,Signal0,0.99275[0.0597699],0.993172[0.058028],0.992366[0.0613068],17,0_1
3,Hybridindex,13.7185[1.86105],13.7433[1.86184],13.6949[1.85999],18,0_1
3,Pref0,0.9945[0.0521512],0.993326[0.0573779],0.995614[0.0466234],18,0_1
3,Signal0,0.9945[0.0521512],0.993326[0.0573779],0.995614[0.0466234],18,0_1
3,Hybridindex,13.6095[1.8703],13.5242[1.85467],13.6931[1.88174],19,0_1
3,Pref0,0.99675[0.0401801],0.996465[0.0418948],0.99703[0.038423],19,0_1
3,Signal0,0.99675[0.0401801],0.996465[0.0418948],0.99703[0.038423],19,0_1
3,Hybridindex,13.5448[1.8716],13.5298[1.91726],13.5589[1.82717],20,0_1
3,Pref0,0.999[0.0223383],0.999486[0.016021],0.998539[0.0269842],20,0_1
3,Signal0,0.999[0.0223383],0.999486[0.016021],0.998539[0.0269842],20,0_1
3,Hybridindex,13.4772[1.8304],13.5128[1.83496],13.4405[1.82493],21,0_1
3,Pref0,0.9995[0.0158035],0.999508[0.015671],0.999491[0.0159394],21,0_1
3,Signal0,0.9995[0.0158035],0.999508[0.015671],0.999491[0.0159394],21,0_1
3,Hybridindex,13.472[1.78332],13.515[1.79196],13.4259[1.77284],22,0_1
3,Pref0,0.99975[0.0111775],1[0],0.999482[0.0160872],22,0_1
3,Signal0,0.99975[0.0111775],1[0],0.999482[0.0160872],22,0_1
3,Hybridindex,13.5002[1.82958],13.601[1.82601],13.3985[1.82755],23,0_1
3,Pref0,1[0],1[0],1[0],23,0_1
3,Signal0,1[0],1[0],1[0],23,0_1
3,Hybridindex,13.4775[1.78641],13.4692[1.74434],13.4854[1.82533],24,0_1
3,Pref0,1[0],1[0],1[0],24,0_1
3,Signal0,1[0],1[0],1[0],24,0_1
3,Hybridindex,13.433[1.76359],13.3837[1.79064],13.4812[1.73537],25,0_1
3,Pref0,1[0],1[0],1[0],25,0_1
3,Signal0,1[0],1[0],1[0],25,0_1
3,Hybridindex,13.3938[1.77605],13.3245[1.82421],13.461[1.72527],26,0_1
3,Pref0,1[0],1[0],1[0],26,0_1
3,Signal0,1[0],1[0],1[0],26,0_1
3,Hybridindex,13.4142[1.7943],13.4331[1.77856],13.3956[1.80953],27,0_1
3,Pref0,1[0],1[0],1[0],27,0_1
3,Signal0,1[0],1[0],1[0],27,0_1
3,Hybridindex,13.3825[1.78359],13.3624[1.7894],13.4015[1.7779],28,0_1
3,Pref0,1[0],1[0],1[0],28,0_1
3,Signal0,1[0],1[0],1[0],28,0_1
3,Hybridindex,13.313[1.77053],13.3297[1.747],13.2973[1.79222],29,0_1
3,Pref0,1[0],1[0],1[0],29,0_1
3,Signal0,1[0],1[0],1[0],29,0_1
3,Hybridindex,13.3325[1.76704],13.3228[1.76905],13.3425[1.76491],30,0_1
3,Pref0,1[0],1[0],1[0],30,0_1
3,Signal0,1[0],1[0],1[0],30,0_1
3,Hybridindex,13.348[1.79148],13.3624[1.79065],13.3328[1.79222],31,0_1
3,Pref0,1[0],1[0],1[0],31,0_1
3,Signal0,1[0],1[0],1[0],31,0_1
3,Hybridindex,13.3935[1.77916],13.3552[1.70387],13.4322[1.8513],32,0_1
3,Pref0,1[0],1[0],1[0],32,0_1
3,Signal0,1[0],1[0],1[0],32,0_1
3,Hybridindex,13.3857[1.7804],13.3966[1.77422],13.3744[1.78681],33,0_1
3,Pref0,1[0],1[0],1[0],33,0_1
3,Signal0,1[0],1[0],1[0],33,0_1
3,Hybridindex,13.382[1.78881],13.3937[1.764],13.3706[1.81263],34,0_1
3,Pref0,1[0],1[0],1[0],34,0_1
3,Signal0,1[0],1[0],1[0],34,0_1
3,Hybridindex,13.419[1.78191],13.4226[1.77183],13.4156[1.79143],35,0_1
3,Pref0,1[0],1[0],1[0],35,0_1
3,Signal0,1[0],1[0],1[0],35,0_1
3,Hybridindex,13.4693[1.76435],13.504[1.76812],13.4344[1.75987],36,0_1
3,Pref0,1[0],1[0],1[0],36,0_1
